交易日期,股票代码,股票名称,是否交易,下日_是否交易,下日_开盘涨停,下日_一字涨停,下日_开盘跌停,下日_一字跌停,下日_是否ST,下日_是否退市,下日_开盘买入涨跌幅,总市值,流通市值,换手率,振幅1,振幅2,本周期涨跌幅,下周期每天涨跌幅
2007-07-27,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.017369727047146455,176242102748.0,131956816485.0,0.026982198705928412,0.3277452426265559,0.04966683780238812,-0.022463768115941862,"[0.01309612058314813, -0.018292682926829285, 0.003478260869565153, 0.03515721713295372, 0.057880889739296615]"
2007-07-27,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.02499999999999991,19067410972.1,16714129895.0,0.19251707724029268,0.24999999999999956,0.04815844643088901,0.12458471760797352,"[0.02954209748892178, -0.001434720229555153, -0.05747126436781613, 0.02286585365853666, -0.005961251862891204]"
2007-08-03,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.009865470852017832,192616461688.0,144216703561.0,0.030279917021906723,0.31661252560725783,0.04722675774897026,0.09751861042183574,"[0.018313361971512565, -0.02109236234458245, -0.002041279201633106, 0.027272727272727337, -0.013495575221238898]"
2007-08-03,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.02359882005899716,18785765315.2,16467244667.6,0.1470243352103457,0.27370304114490196,0.043554264249473174,-0.019117647058823573,"[0.040479760119940034, 0.02449567723342949, -0.02812939521800284, 0.013024602026049159, -0.01571428571428579]"
2007-08-10,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.012567324955116699,194184219459.0,145390522536.0,0.024891112734696446,0.3516448370392937,0.04943841488581091,-0.00022421524663673864,"[-0.013231666292890853, 0.033636363636363464, 0.010334212840809265, -0.03656147986942326, -0.05037271289812528]"
2007-08-10,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.012931034482758674,19405385760.4,17010392167.9,0.14676926342188004,0.29516994633273774,0.04500356688356083,0.016224188790560534,"[0.02322206095791013, 0.019858156028368823, -0.006954102920723293, -0.026610644257702987, -0.01151079136690647]"
2007-08-17,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.04218822438572101,183079268582.0,137075971461.0,0.03291352822754663,0.17721518987341733,0.05176658313610716,-0.05655296229802531,"[0.06945765937202664, 0.04314946619217075, 0.053091684434968034, 0.011338327596679632, 0.05465465465465469]"
2007-08-17,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.05120910384068278,19349056629.0,16961015122.4,0.146424554490261,0.21535893155258834,0.04331326573086797,-0.012931034482758452,"[0.0756914119359533, -0.005412719891745632, -0.008163265306122436, 0.005486968449931462, 0.0013642564802183177]"
2007-08-24,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.01271829916476841,229415220478.0,171768843400.0,0.035000279212452336,0.3481012658227842,0.058969241932891624,0.22114047287899874,"[-0.01271829916476841, -0.0001922707171697624, -0.002307692307692233, 0.02081727062451799, 0.038519637462235634]"
2007-08-24,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.009421265141319024,20672791216.5,18121375691.2,0.1723297047208453,0.15644171779141147,0.03902071510437029,0.04409672830725464,"[0.021798365122615904, 0.045333333333333226, 0.011479591836734748, 0.020176544766708826, 0.043263288009888656]"
